Team_1,T1_score,T1_wickets,T1_overs,T1_rpo,T1_result,Team_2,T2_score,T2_wickets,T2_overs,T2_rpo,T2_result
England,310,10,49.3,6.26,1,New Zealand,223,10,44.3,5.01,0
South Africa,219,8,50,4.38,0,Pakistan,119,3,27,4.4,1
India,321,6,50,6.42,0,Sri Lanka,322,3,48.4,6.61,1
New Zealand,265,8,50,5.3,0,Bangladesh,268,5,47.2,5.66,1
Afghanistan,212,6,50,4.24,1,West Indies,149,10,44.4,3.33,0
Australia,277,9,50,5.54,0,England,240,4,40.2,5.95,1
South Africa,191,10,44.3,4.29,0,India,193,2,38,5.07,1
Afghanistan,135,10,37.3,3.6,0,West Indies,138,6,39.2,3.5,1
Sri Lanka,236,10,49.2,4.78,0,Pakistan,237,7,44.5,5.28,1
England,211,10,49.5,4.23,0,Pakistan,215,2,37.1,5.78,1
Bangladesh,264,7,50,5.28,0,India,265,1,40.1,6.59,1
Pakistan,338,4,50,6.76,1,India,158,10,30.3,5.18,0
India,310,5,43,7.2,1,West Indies,205,6,43,4.76,0
India,251,4,50,5.02,1,West Indies,158,10,38.1,4.13,0
West Indies,189,9,50,3.78,1,India,178,10,49.4,3.58,0
West Indies,205,9,50,4.1,0,India,206,2,36.5,5.59,1
Sri Lanka,216,10,43.2,4.98,0,India,220,1,28.5,7.63,1
Sri Lanka,236,8,50,4.72,0,India,231,7,44.2,5.21,1
Sri Lanka,217,9,50,4.34,0,India,218,4,45.1,4.82,1
India,375,5,50,7.5,1,Sri Lanka,207,10,42.4,4.85,0
Sri Lanka,238,10,49.4,4.79,0,India,239,4,46.3,5.13,1
India,281,7,50,5.62,1,Australia,137,9,21,6.52,0
West Indies,204,9,42,4.85,0,England,210,3,30.5,6.81,1
India,252,10,50,5.04,1,Australia,202,10,43.1,4.67,0
Australia,293,6,50,5.86,0,India,294,5,47.5,6.14,1
England,369,9,50,7.38,1,West Indies,245,10,39.1,6.25,0
West Indies,356,5,50,7.12,0,England,258,5,35.1,7.33,1
Australia,334,5,50,6.68,1,India,313,8,50,6.26,0
West Indies,288,6,50,5.76,0,England,294,1,38,7.73,1
Australia,242,9,50,4.84,0,India,243,3,42.5,5.67,1
Pakistan,292,6,50,5.84,1,Sri Lanka,209,8,50,4.18,0
Bangladesh,278,7,50,5.56,0,South Africa,282,0,42.5,6.58,1
Pakistan,219,9,50,4.38,1,Sri Lanka,187,10,48,3.89,0
South Africa,353,6,50,7.06,1,Bangladesh,249,10,47.5,5.2,0
Sri Lanka,208,10,48.2,4.3,0,Pakistan,209,3,42.3,4.91,1
Sri Lanka,173,10,43.4,3.96,0,Pakistan,177,3,39,4.53,1
India,280,8,50,5.6,0,New Zealand,284,4,49,5.79,1
South Africa,369,6,50,7.38,1,Bangladesh,169,10,40.4,4.15,0
Sri Lanka,103,10,26.2,3.91,0,Pakistan,105,1,20.2,5.16,1
New Zealand,230,9,50,4.6,0,India,232,4,46,5.04,1
India,337,6,50,6.74,1,New Zealand,331,7,50,6.62,0
India,112,10,38.2,2.92,0,Sri Lanka,114,3,20.4,5.51,1
India,392,4,50,7.84,1,Sri Lanka,251,8,50,5.02,0
Sri Lanka,215,10,44.5,4.79,0,India,219,2,32.1,6.8,1
West Indies,248,9,50,4.96,0,New Zealand,249,5,46,5.41,1
New Zealand,325,6,50,6.5,1,West Indies,121,10,28,4.32,0
New Zealand,131,4,23,5.69,1,West Indies,99,9,23,4.3,0
New Zealand,315,7,50,6.3,1,Pakistan,166,6,30.1,5.5,0
Pakistan,246,9,50,4.92,0,New Zealand,151,2,23.5,6.33,1
New Zealand,257,10,50,5.14,1,Pakistan,74,10,27.2,2.7,0
Australia,304,8,50,6.08,0,England,308,5,48.5,6.3,1
Pakistan,262,8,50,5.24,0,New Zealand,263,5,45.5,5.73,1
New Zealand,271,7,50,5.42,1,Pakistan,256,10,49,5.22,0
